Constituency,Cons Seat Party,National List,Labour List,NZ List,Green List,ACT List
Auckland Central,National,,,,,
Bay of Plenty,National,,,,,
Botany,National,,,,,
Christchurch Central,Labour,,,,,
Christchurch East,Labour,,,,,
Clutha-Southland,National,,,,,
Coromandel,National,,,,,
Dunedin North,Labour,,,,,
Dunedin South,Labour,,,,,
East Coast,National,,,,,
East Coast Bays,National,,,,,
Epsom,ACT,,,,,
Hamilton East,National,,,,,
Hamilton West,National,,,,,
Hauraki-Waikato,Labour,,,,,
Helensville,National,,,,,
Hunua,National,,,,,
Hutt South,National,,,,,
Ikaroa-Rāwhiti,Labour,,,,,
Ilam,National,,,,,
Invercargill,National,,,,,
Kaikoura,National,,,,,
Kelston,Labour,,,,,
Mana,Labour,,,,,
Māngere,Labour,,,,,
Manukau East,Labour,,,,,
Manurewa,Labour,,,,,
Maungakiekie,National,,,,,
Mount Albert,Labour,,,,,
Mount Roskill,Labour,,,,,
Napier,Labour,,,,,
Nelson,National,,,,,
New Lynn,Labour,,,,,
New Plymouth,National,,,,,
North Shore,National,,,,,
Northcote,National,,,,,
Northland,National,,,,,
Ōhāriu,Labour,,,,,
Ōtaki,National,,,,,
Pakuranga,National,,,,,
Palmerston North,Labour,,,,,
Papakura,National,,,,,
Port Hills,Labour,,,,,
Rangitata,National,,,,,
Rangitīkei,National,,,,,
Rimutaka,Labour,,,,,
Rodney,National,,,,,
Rongotai,Labour,,,,,
Rotorua,National,,,,,
Selwyn,National,,,,,
Tāmaki,National,,,,,
Tāmaki Makaurau,Labour,,,,,
Taranaki-King Country,National,,,,,
Taupō,National,,,,,
Tauranga,National,,,,,
Te Atatū,Labour,,,,,
Te Tai Hauāuru,Labour,,,,,
Te Tai Tokerau,Labour,,,,,
Te Tai Tonga,Labour,,,,,
Tukituki,National,,,,,
Upper Harbour,National,,,,,
Waiariki,Labour,,,,,
Waikato,National,,,,,
Waimakariri,National,,,,,
Wairarapa,National,,,,,
Waitaki,National,,,,,
Wellington Central,Labour,,,,,
West Coast-Tasman,Labour,,,,,
Whanganui,National,,,,,
Whangarei,National,,,,,
Wigram,Labour,,,,,
Total,,1152075,956184,186706,162443,13075
